reader,writer,backend,table_type,status,details
ngio04,ngio04,anndata,feature_table,success,
ngio04,ngio04,anndata,roi_table,success,
ngio04,ngio04,anndata,masking_roi_table,success,
ngio04,ngio04,json,feature_table,success,
ngio04,ngio04,json,roi_table,success,
ngio04,ngio04,json,masking_roi_table,success,
ngio04,ngio04,csv,feature_table,success,
ngio04,ngio04,csv,roi_table,success,
ngio04,ngio04,csv,masking_roi_table,success,
ngio04,ngio04,parquet,feature_table,success,
ngio04,ngio04,parquet,roi_table,success,
ngio04,ngio04,parquet,masking_roi_table,success,
ngio04,ngio05_v3,anndata,feature_table,failure,Failed to read table with error: No Zarr group found at /Users/locerr/Projects/ngio-table-compatibility/tables/ngio05_v3/anndata/feature_table.zarr
ngio04,ngio05_v3,anndata,roi_table,failure,Failed to read table with error: No Zarr group found at /Users/locerr/Projects/ngio-table-compatibility/tables/ngio05_v3/anndata/roi_table.zarr
ngio04,ngio05_v3,anndata,masking_roi_table,failure,Failed to read table with error: No Zarr group found at /Users/locerr/Projects/ngio-table-compatibility/tables/ngio05_v3/anndata/masking_roi_table.zarr
ngio04,ngio05_v3,json,feature_table,failure,Failed to read table with error: No Zarr group found at /Users/locerr/Projects/ngio-table-compatibility/tables/ngio05_v3/json/feature_table.zarr
ngio04,ngio05_v3,json,roi_table,failure,Failed to read table with error: No Zarr group found at /Users/locerr/Projects/ngio-table-compatibility/tables/ngio05_v3/json/roi_table.zarr
ngio04,ngio05_v3,json,masking_roi_table,failure,Failed to read table with error: No Zarr group found at /Users/locerr/Projects/ngio-table-compatibility/tables/ngio05_v3/json/masking_roi_table.zarr
ngio04,ngio05_v3,csv,feature_table,failure,Failed to read table with error: No Zarr group found at /Users/locerr/Projects/ngio-table-compatibility/tables/ngio05_v3/csv/feature_table.zarr
ngio04,ngio05_v3,csv,roi_table,failure,Failed to read table with error: No Zarr group found at /Users/locerr/Projects/ngio-table-compatibility/tables/ngio05_v3/csv/roi_table.zarr
ngio04,ngio05_v3,csv,masking_roi_table,failure,Failed to read table with error: No Zarr group found at /Users/locerr/Projects/ngio-table-compatibility/tables/ngio05_v3/csv/masking_roi_table.zarr
ngio04,ngio05_v3,parquet,feature_table,failure,Failed to read table with error: No Zarr group found at /Users/locerr/Projects/ngio-table-compatibility/tables/ngio05_v3/parquet/feature_table.zarr
ngio04,ngio05_v3,parquet,roi_table,failure,Failed to read table with error: No Zarr group found at /Users/locerr/Projects/ngio-table-compatibility/tables/ngio05_v3/parquet/roi_table.zarr
ngio04,ngio05_v3,parquet,masking_roi_table,failure,Failed to read table with error: No Zarr group found at /Users/locerr/Projects/ngio-table-compatibility/tables/ngio05_v3/parquet/masking_roi_table.zarr
ngio04,ngio05_v2,anndata,feature_table,success,
ngio04,ngio05_v2,anndata,roi_table,success,
ngio04,ngio05_v2,anndata,masking_roi_table,success,
ngio04,ngio05_v2,json,feature_table,success,
ngio04,ngio05_v2,json,roi_table,success,
ngio04,ngio05_v2,json,masking_roi_table,success,
ngio04,ngio05_v2,csv,feature_table,success,
ngio04,ngio05_v2,csv,roi_table,success,
