reader,reader_os,writer,writer_os,backend,table_type,status,details
ngio04,linux,ngio05_v3,linux,anndata,feature_table,failure,Failed to read table with error: No Zarr group found at /home/runner/work/ngio-table-compatibility/ngio-table-compatibility/tables/linux/ngio05_v3/anndata/feature_table.zarr
ngio04,linux,ngio05_v3,linux,anndata,roi_table,failure,Failed to read table with error: No Zarr group found at /home/runner/work/ngio-table-compatibility/ngio-table-compatibility/tables/linux/ngio05_v3/anndata/roi_table.zarr
ngio04,linux,ngio05_v3,linux,anndata,masking_roi_table,failure,Failed to read table with error: No Zarr group found at /home/runner/work/ngio-table-compatibility/ngio-table-compatibility/tables/linux/ngio05_v3/anndata/masking_roi_table.zarr
ngio04,linux,ngio05_v3,linux,json,feature_table,failure,Failed to read table with error: No Zarr group found at /home/runner/work/ngio-table-compatibility/ngio-table-compatibility/tables/linux/ngio05_v3/json/feature_table.zarr
ngio04,linux,ngio05_v3,linux,json,roi_table,failure,Failed to read table with error: No Zarr group found at /home/runner/work/ngio-table-compatibility/ngio-table-compatibility/tables/linux/ngio05_v3/json/roi_table.zarr
ngio04,linux,ngio05_v3,linux,json,masking_roi_table,failure,Failed to read table with error: No Zarr group found at /home/runner/work/ngio-table-compatibility/ngio-table-compatibility/tables/linux/ngio05_v3/json/masking_roi_table.zarr
ngio04,linux,ngio05_v3,linux,csv,feature_table,failure,Failed to read table with error: No Zarr group found at /home/runner/work/ngio-table-compatibility/ngio-table-compatibility/tables/linux/ngio05_v3/csv/feature_table.zarr
ngio04,linux,ngio05_v3,linux,csv,roi_table,failure,Failed to read table with error: No Zarr group found at /home/runner/work/ngio-table-compatibility/ngio-table-compatibility/tables/linux/ngio05_v3/csv/roi_table.zarr
ngio04,linux,ngio05_v3,linux,csv,masking_roi_table,failure,Failed to read table with error: No Zarr group found at /home/runner/work/ngio-table-compatibility/ngio-table-compatibility/tables/linux/ngio05_v3/csv/masking_roi_table.zarr
ngio04,linux,ngio05_v3,linux,parquet,feature_table,failure,Failed to read table with error: No Zarr group found at /home/runner/work/ngio-table-compatibility/ngio-table-compatibility/tables/linux/ngio05_v3/parquet/feature_table.zarr
ngio04,linux,ngio05_v3,linux,parquet,roi_table,failure,Failed to read table with error: No Zarr group found at /home/runner/work/ngio-table-compatibility/ngio-table-compatibility/tables/linux/ngio05_v3/parquet/roi_table.zarr
ngio04,linux,ngio05_v3,linux,parquet,masking_roi_table,failure,Failed to read table with error: No Zarr group found at /home/runner/work/ngio-table-compatibility/ngio-table-compatibility/tables/linux/ngio05_v3/parquet/masking_roi_table.zarr
ngio04,linux,ngio04,linux,anndata,feature_table,success,
ngio04,linux,ngio04,linux,anndata,roi_table,success,
ngio04,linux,ngio04,linux,anndata,masking_roi_table,success,
ngio04,linux,ngio04,linux,json,feature_table,success,
